meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
70,Photo Dojo,DS,10-May-10,7,/game/ds/photo-dojo,E10+,['Nintendo'],"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D']"
83,Picross 3D,DS,3-May-10,8.1,/game/ds/picross-3d,E,['HAL Labs'],"['Miscellaneous', 'Puzzle', 'Puzzle', 'Puzzle', 'Logic', 'Logic']"
,Game & Watch: Flagman,DS,19-Apr-10,,/game/ds/game-watch-flagman,E,['Nintendo'],"['Action', 'General', 'General']"
,Game & Watch: Ball,DS,19-Apr-10,,/game/ds/game-watch-ball,E,['Nintendo'],"['Action', 'General', 'General', 'Arcade']"
,Game & Watch: Donkey Kong Jr.,DS,19-Apr-10,8,/game/ds/game-watch-donkey-kong-jr,E,['Nintendo'],"['Action', 'General', 'General']"
,Game & Watch: Vermin,DS,5-Apr-10,,/game/ds/game-watch-vermin,E,['Nintendo'],"['Action', 'Miscellaneous', 'Trivia / Game Show', 'Trivia / Game Show', 'Arcade']"
,Game & Watch: Helmet,DS,5-Apr-10,,/game/ds/game-watch-helmet,E,['Nintendo'],"['Action', 'General', 'General']"
,Game & Watch: Manhole,DS,5-Apr-10,,/game/ds/game-watch-manhole,E,['Nintendo'],"['Action', 'General', 'General']"
,Grill-Off with Ultra Hand!,WII,31-Mar-10,,/game/wii/grill-off-with-ultra-hand!,E,['Nintendo'],"['Action', 'General', 'General']"
,Game & Watch Collection 2,DS,31-Mar-10,,/game/ds/game-watch-collection-2,E,['Nintendo'],"['Miscellaneous', 'Compilation', 'Compilation']"
73,WarioWare D.I.Y. Showcase,WII,29-Mar-10,8.4,/game/wii/warioware-diy-showcase,E,['Intelligent Systems'],"['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
,Nintendo DSi Metronome,DS,29-Mar-10,8,/game/ds/nintendo-dsi-metronome,E,['Nintendo'],"['Miscellaneous', 'General', 'General']"
,Nintendo DSi Instrument Tuner,DS,29-Mar-10,,/game/ds/nintendo-dsi-instrument-tuner,E,['Nintendo'],"['Miscellaneous', 'General', 'General']"
82,WarioWare D.I.Y.,DS,28-Mar-10,8.2,/game/ds/warioware-diy,E,['Intelligent Systems'],"['Miscellaneous', 'General', 'General']"
,America's Test Kitchen: Let's Get Cooking,WII,28-Mar-10,,/game/wii/americas-test-kitchen-lets-get-cooking,,,"['Miscellaneous', 'General']"
87,America's Test Kitchen: Let's Get Cooking,DS,28-Mar-10,6.3,/game/ds/americas-test-kitchen-lets-get-cooking,E,['indieszero'],"['Miscellaneous', 'General', 'General']"
,Game & Watch: Judge,DS,22-Mar-10,,/game/ds/game-watch-judge,E,['Nintendo'],"['Action', 'General', 'General']"
,Game & Watch: Chef,DS,22-Mar-10,,/game/ds/game-watch-chef,E,['Nintendo'],"['Action', 'General', 'General']"
,Game & Watch: Mario's Cement Factory,DS,22-Mar-10,,/game/ds/game-watch-marios-cement-factory,E,['Nintendo'],"['Action', 'General', 'General']"
87,Pokemon HeartGold Version,DS,14-Mar-10,9.1,/game/ds/pokemon-heartgold-version,E,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
87,Pokemon SoulSilver Version,DS,14-Mar-10,9.2,/game/ds/pokemon-soulsilver-version,E,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
76,Endless Ocean: Blue World,WII,22-Feb-10,8.6,/game/wii/endless-ocean-blue-world,E10+,['Arika'],"['Adventure', 'General', 'General', '3D', 'Third-Person']"
